Codigo,Descripcion,Cupo,Watts,Industrial,Refrigerado,Pesable
30000630,CHOCLO DULCE 16X340,0.03,1,0,0,0
30000629,DURAZNOS CUBITOS REGIMEL 16X380,0.03,1,0,0,0
30000628,ENSALADA DE VERDURAS 16X340,0.03,1,0,0,0
30000627,ARVEJITAS ESPECIALES 16X340,0.03,1,0,0,0
30000626,DURAZNOS CUBITOS 16X380,0.03,1,0,0,0
30000621,PIÑAS CUBITOS WSL 3 KG,0.03,1,1,0,0
30000620,PIÑAS RODAJAS WSL 3 KG,0.03,1,1,0,0
30000619,COCTEL WSL 3 KG,0.03,1,1,0,0
30000618,PALMITOS WSL 12X800,0.03,1,0,0,0
30000617,PALMITOS EN RODAJAS WSL 12X800,0.03,1,0,0,0
30000616,PALMITOS WSL 24X400,0.03,1,0,0,0
30000615,PALMITOS RODAJAS WSL 24X400,0.03,1,0,0,0
30000614,CHOCLO COCTEL WSL 24X425,0.03,1,0,0,0
30000613,CHAMPIGNON LAMINADO WSL 24X400,0.03,1,0,0,0
30000612,CHAMPIGNON ENTERO WSL 24X400,0.03,1,0,0,0
30000610,PIÑA CUBITOS 24X560 WSL,0.03,1,0,0,0
30000609,PIÑA RODAJAS WSL 24X560,0.03,1,0,0,0
30000608,COCTEL DE FRUTAS WSL 24X560,0.03,1,0,0,0
30000607,DURAZNOS TROZO WASIL 3 KG,0.03,1,1,0,0
30000606,FRUTILLAS AL JUGO 24X410,0.03,1,0,0,0
30000604,DURAZNOS MITADES REGIMEL 24X560,0.03,1,0,0,0
30000603,DURAZNO MITADES WSL 3 KG,0.03,1,1,0,0
30000600,DURAZNOS TROZO WSL 24X590,0.03,1,0,0,0
30000599,DURAZNOS MITADES WSL 24X590,0.03,1,0,0,0
30000596,VINO TTO G.RESVA CAR 14º 6X750,0.03,1,0,0,0
30000595,VINO TTO G.RESVA CAB 14º6X750,0.03,1,0,0,0
30000593,SC SPARKLING DEMI RRP BOT 13° 6X750,0.03,1,0,0,0
30000592,SC SPARKLING BRUT RRP BOT 13° 6X750,0.03,1,0,0,0
30000589,VINO TTO RSVA ESP VSC CR BOT 13° 6X750,0.03,1,0,0,0
30000579,VINO TTO PLATA MECS135° 6X750,0.03,1,0,0,0
30000578,VINO TTO PLATA CSSZ135° 6X750,0.03,1,0,0,0
30000563,QUESO LAS PARCELAS LAM S/ BORDES 12X500G,0.03,1,0,1,0
30000561,QUESO LAS PARCELAS TZO 12X500G,0.03,1,0,1,0
30000560,QUESO LAS PARCELAS LAMINA 16*350G,0.03,1,0,1,0
30000559,QUESO LAS PARCELAS TROZO 16*350G,0.03,1,0,1,0
30000556,GAUDA CALO LAMINADO 16X250G,0.03,1,0,0,0
30000555,GAUDA CALO LAMINADO 12X1KG,0.03,1,0,1,0
30000550,COBERTURA CHOCOLATE LECHE 16X1,0.03,1,1,0,0
30000549,COBERTURA CHOC. BLANCO 16X1,0.03,1,1,0,0
30000548,COBERTURA CHOC. SEMIBITER 16X1,0.03,1,1,0,0
30000547,CREMA PAST. CALO PREMIUM 20X400,0.03,1,1,0,0
30000544,BEBIDA VEGETAL LONCO ARROZ COCO 6X1,0.03,1,0,0,0
30000543,BEBIDA VEGETAL LONCO AVENA 6X1,0.03,1,0,0,0
30000538,PREP HELADO PR CHOC 1X10 BOLSA,0.03,1,1,0,0
30000537,PREP. HELADO PR BOC 1X10 BOLSA,0.03,1,1,0,0
30000527,QUESO CREMA CALO 10*1.36,0.03,1,1,1,0
30000525,LECHE BCA ENTERA LONCO 12X500,0.03,1,0,0,0
30000524,LECHE BCA DESC LONCO12X1,0.05,1,0,0,0
30000523,LECHE BCA SEMI LONCO12X1,0.05,1,0,0,0
30000522,LECHE BCA ENTERA LONCO 12X1,0.05,1,0,0,0
30000516,LONCO PROTEINMILK CHOCO 12X1,0.03,1,0,0,0
30000514,LONCO PROTEIN MILK CAPP 12X1,0.03,1,0,0,0
30000502,LECHE CULTIVADA S/L PAPAYA 6X900,0.03,1,0,1,0
30000501,LECHE CULTIVA S/L ARANDANO 6X900,0.03,1,0,1,0
30000500,LECHE CULTIVADA LIGHT CHIRI 6X900,0.03,1,0,1,0
30000499,LECHE CULTIVADA LIGHT VAINI 6X900,0.03,1,0,1,0
30000498,LECHE CULTIVADA LIGHT FRUTI 6X900,0.03,1,0,1,0
30000485,MANJAR DOYPACK 12*400,0.03,1,0,0,0
30000481,LONCOLECHE EXTRA PROTEINA 12X1,0.03,1,0,0,0
30000479,CHOCO AVELLANAS LONCO 12X1,0.03,1,0,0,0
30000478,CAPPUCCINO LONCOLECHE 12X1,0.03,1,0,0,0
30000476,PH ESTANDAR MORA CREMA 12X1,0.03,1,1,0,0
30000472,LECHE LONCOLECHE ALMENDRA 6X1LT,0.03,1,0,0,0
30000471,SUPER CALO CHOCOLATE 30X176 CC,0.03,1,0,0,0
30000469,MANTEQUILLA CALO UNTAB 12X350,0.03,1,0,1,0
30000444,QUESO LAS PARCELAS LAMINA 30X350G,0.03,1,0,1,0
30000436,PROT SHOT VAINILLA PACK 8X6X100,0.03,1,0,1,0
30000435,PROT SHOT BERRIS PACK 8X6X100,0.03,1,0,1,0
30000428,PR. H BASE ARTESANAL 12X1 TETR,0.03,1,1,0,0
30000423,LECHE DES MANJAR LIG LCO30X200,0.03,1,0,0,0
30000421,LECHE S/LACTOSA VAINILLA 12X1,0.03,1,0,0,0
30000413,CREMA VEGETAL CALO 12X1,0.03,1,1,0,0
30000409,YOGURT POTE LON S/LACT TROZ BERRI 6*8,0.03,1,0,1,0
30000408,YOGURT POTE LON S/LAC TROZ DURAZ 6*8*120,0.03,1,0,1,0
30000407,YOG POT LON STL PAP 6X8X120,0.03,1,0,1,0
30000403,LECHE L. S/LAC DES CHOCO 12X1,0.03,1,0,0,0
30000401,LECHE FRUTILLA LONCO 30X200,0.03,1,0,0,0
30000400,LECHE CHOC LONCO 30X200,0.03,1,0,0,0
30000399,LECHE NAT LONCO 30X200,0.03,1,0,0,0
30000398,LECHE S/LACT CHOC LONCO 30*200,0.03,1,0,0,0
30000395,LP CALO CRECER 4+ 10X800 GRS,0.03,1,0,0,0
30000394,LP CALO CRECER 1+ 10X800 GRS,0.03,1,0,0,0
30000392,MANJAR CALO DULCE RELLENO 2X6,0.03,1,1,0,0
30000391,ALIMEN SOYA LIQUIDO CHOCO 12X1,0.03,1,0,0,0
30000390,ALIMEN SOYA LIQUIDO NATU 12X1,0.03,1,0,0,0
30000389,GAUDA CALO LAMINADO 6X1KG ESPECIAL,0.03,1,1,1,0
30000386,SALSA HELADERÍA MANJAR 10X1,0.03,1,1,0,0
30000384,CREMA S/LAC LONCO 30X200,0.03,1,0,0,0
30000383,CREMA S/LACT LONCOLECHE 12X1,0.03,1,0,0,0
30000382,PURITA FORTIFICADA 10X800,0.03,1,0,0,0
30000380,LP CALO SEMIDESCREMADA 14X400,0.03,1,0,0,0
30000378,LP CALO INSTANTANEA 14X400,0.03,1,0,0,0
30000377,LP CALO EXTRA CALCIO 10X800,0.03,1,0,0,0
30000376,LP CALO SEMIDESCREMADA 10X800,0.03,1,0,0,0
30000375,SUPER CALO POLVO 12x10X120DISP,0.03,1,0,0,0
30000371,YOG POT LON S/L CHI 48X120,0.03,1,0,1,0
30000370,YOG POT LON S/L FRU 48X120,0.03,1,0,1,0
30000366,GAUDA CALO LAMINADO 2X5 KG,0.03,1,0,1,1
30000362,MANJAR CALO DULCE CHILENO 2X6,0.03,1,1,0,0
30000361,MANJAR CALO PAST ARTESANAL 2X5,0.03,1,1,0,0
30000360,LECHE S/LACTOS EXTRA CALCIO 12X1,0.03,1,0,0,0
30000359,CREMA TRES LECHES CALO 12X1 LT,0.03,1,1,0,0
30000358,LECHE POLVO 0% CALO 20X800,0.03,1,0,0,0
30000356,CREMA PASTELERA CALO 12X350,0.03,1,1,0,0
30000355,LECHE DESC CHOC LIG LCO 5X6X200,0.03,1,0,0,0
30000354,LECHE S/LACTOS SEMI LCO 5X6X200,0.03,1,0,0,0
30000353,LECHES/LACTOSA DESC LONCO 12X1,0.03,1,0,0,0
30000352,LECHE DESC CHOC LIGHT LCO 12X1,0.03,1,0,0,0
30000351,LECHE VAINILLA 30X200CC,0.03,1,0,0,0
30000350,CREMA PASTEURIZADA CALO 6*1,0.03,1,1,1,0
30000347,CREMA LISTA LONCO LIGHT 30*200,0.03,1,0,0,0
30000343,CREMA PARA BATIR CALO 12X1000,0.03,1,0,0,0
30000340,PREP HELADO BASE 12X1 TETRA,0.03,1,1,0,0
30000339,PREP HELADO LUCUMA TETRA 12X1,0.03,1,1,0,0
